Model Year,Manufacturer,Model,Curb Weight,Drag Coeffiecents,Category,Fuel,Seats,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,PHEV Type,Total Range,All-Electric Range,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles per hour of charging),Charging Speed Level 2 (miles per hour of charging),Charging Speed DC Fast (miles per hour of charging),Battery Capacity (kWh),Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Drivetrain,Notes
2024,Rivian ,R1T Dual,7150,0.3,Pickup,Electric,5,,,65-78,,,,,,255-352,11.5,210,2,24,344,144,,,e-motor,208 kW (x2),,,,Part-Time 4WD,"Includes  Large, Standard, Standard Plus, All-Terrain, and Performance models with 20"", 21"", and 22"" wheels"
2024,Rivian ,R1T Dual Max,7150,0.3,Pickup,Electric,5,,,73-84,,,,,,355-410,11.5,210,2,24,344,149.7,,,e-motor,208 kW (x2),,,,Part-Time 4WD,"Includes All-Terrain and Performance models with 20"", 21"", and 22"" wheels"
2024,Rivian ,R1T Quad Large,7150,0.3,Pickup,Electric,5,,,63-73,,,,,,274-328,11.5,210,2,24,344,144,,,e-motor,162 kW (x4),,,,AWD,"Includes All-Terrain models and models with 20"", 21"", and 22"" wheels"
2024,Rolls-Royce,Black Badge Spectre,6559,0.25,Sedan/Wagon,Electric,,,,73-78,,,,,,264-280,,,,,,105,,,e-motor,190 and 360 kW,,,,AWD,"Includes models with 22"" and 23"" wheels"
2024,Rolls-Royce,Spectre,6559,0.25,Sedan/Wagon,Electric,,,,74-81,,,,,,266-291,,,,,,105,,,e-motor,190 and 360 kW,,,,AWD,"Includes models with 22"" and 23"" wheels"
2024,Subaru,Solterra,4365,0.29,SUV,Electric,5,,,102-104,,,,,,222-227,6.6,100-150,4,23,353,72,,,e-motor,80 kW (x2),,,,AWD,Includes Limited and Touring model
2024,Tesla,Model 3 Long Range AWD,4034,0.219,Sedan/Wagon,Electric,5,137,124,130,,,,,,342,11.5,250,4,41,712,81.4,,,e-motor,84 and 191 kW,,,,AWD,
2024,Tesla,Model 3 Long Range AWD-E,4034,0.219,Sedan/Wagon,Electric,5,133,122,128,,,,,,341,11.5,250,4,41,712,81.4,,,e-motor,191 kW,,,,AWD,
2024,Tesla,Model 3 RWD,3862,0.219,Sedan/Wagon,Electric,5,140,125,132,,,,,,272,11.5,250,4,41,712,60.2,,,e-motor,192 kW,,,,RWD,
2024,Tesla,Model S ,4561,0.208,Sedan/Wagon,Electric,5,127,116,122,,,,,,402,11.5,250,4,38,653,104.4,,,e-motor,247 kW (x2),,,,AWD,
2024,Tesla,Model S Plaid,4776,0.208,Sedan/Wagon,Electric,5,,,96-107,,,,,,320-359,11.5,250,4,38,653,105,,,e-motor,250 kW (X3),,,,AWD,"Includes models with 19"" and 21"" wheels"
2024,Tesla,Model X,5185,0.24,SUV,Electric,7-May,,,90-100,,,,,,300-335,11.5,250,3,33,570,105,,,e-motor,243 kW (X2) or 230 kW (X3),,,,AWD,"Includes Plaid models with 20"" and 22"" wheels"
2024,Tesla,Model Y Long Range AWD-I,4416,0.23,SUV,Electric,7-May,123,112,118,,,,,,308,11.5,250,4,41,712,83.4,,,e-motor,200 kW,,,,AWD,
2024,Tesla,Model Y Performance/Long Range AWD,4416,0.23,SUV,Electric,7-May,,,105-117,,,,,,279-310,11.5,250,4,41,712,83.4,,,e-motor,91/135 and 200/202 kW,,,,AWD,
2024,Tesla,Model Y RWD,4065,0.23,SUV,Electric,7-May,128,112,120,,,,,,260-320,11.5,250,4,41,712,66.5,,,e-motor,203 or 221 kW,,,,RWD,Includes standard and Long Range models
2024,Toyota,bZ4X,4266,0.28,SUV,Electric,5,,,112-119,,,,,,236-252,6.6,150,4,23,353,71.4,,,e-motor,150 kW,,,,FWD,Includes standard and Limited models
2024,Toyota,bZ4X AWD,4464,0.28,SUV,Electric,5,,,102-104,,,,,,222-228,6.6,100-150,4,23,353,72.8,,,e-motor,80 kW (X2),,,,AWD,Includes standard and Limited models
2024,VinFast,VF 9 Eco/Plus,5730,0.3,SUV,Electric,,,,69-75,,,,,,291-330,,,,,,93,,,e-motor,260 or 300 kW,,,,AWD,Includes Plus model
2024,Volkswagen,ID.4 AWD Pro/Pro S,4888,0.28,SUV,Electric,5,,,102,,,,,,263,11,170,4,34,416,81,,,e-motor,105 and 209 kW,,,,AWD,
2024,Volkswagen,ID.4/S/Pro S,4665,0.28,SUV,Electric,5,,,107-113,,,,,,206-291,11,170,4,34,416,81,,,e-motor,210 kW,,,,RWD,"Includes standard, S, and Pro S models"
2024,Volvo,C40/XC40 Recharge,4700,0.32,SUV,Electric,5,,,106-107,,,,,,293-297,11,149,3,28,310,77,,,e-motor,185 kW,,,,RWD,
2024,Volvo,C40/XC40 Recharge Twin,4800,0.32,SUV,Electric,5,,,98-99,,,,,,254-257,11,149,3,28,310,77,,,e-motor,110 and 190 kW,,,,AWD,
2023,Audi,e-tron GT/RS e-tron GT,5174,0.24,Sedan/Wagon,Electric,5,,,81-82,,,,,,232-238,9.6,270,3,23,292,95,,,e-motor,TBD,,,,AWD,
2023,Audi,e-tron quattro/S,5886,0.28,SUV,Electric,5,,,63-79,,,,,,181-226,9.6,150,3,22,278,95,,,e-motor,138 kW,,,,AWD,"Includes models with 20"",  21"", and 22"" wheels"
2023,Audi,e-tron Sportback/S Sportback,5886,0.26,SUV,Electric,5,,,65-78,,,,,,185-225,9.6,150,3,22,274,95,,,e-motor,138 kW,,,,AWD,"Includes models with 20"",  21"", and 22"" wheels"
2023,Audi,Q4 e-tron,4630,0.28,SUV,Electric,5,112,94,103,,,,,,265,11,125,3,31,282,82,,,e-motor,TBD,,,,RWD,
2023,Audi,Q4 e-tron quattro,4900,0.28,SUV,Electric,5,97,87,93,,,,,,236,11,125,3,31,282,95,,,e-motor,TBD,,,,AWD,
2023,Audi,Q4 e-tron Sportback,4630,0.28,SUV,Electric,5,100,89,95,,,,,,242,11,125,3,31,282,82,,,e-motor,TBD,,,,AWD,
2023,BMW,i4 eDrive35/40 Gran Coupe,4680,0.24,Sedan/Wagon,Electric,,,,99-113,,,,,,235-301,11,195,4,33,463,84,,,e-motor,250 kW,,,,RWD,"Includes eDrive35 and eDrive40 models with 18"" and 19"" wheels"
2023,BMW,i4 M50 Gran Coupe,5018,0.24,Sedan/Wagon,Electric,5,,,80-96,,,,,,227-271,11,196,4,33,463,83,,,e-motor,TBD,,,,AWD,
2023,BMW,i7 xDrive60 Sedan,5917,0.24,Sedan/Wagon,Electric,5,,,83-89,,,,,,296-318,,,,,,105,,,e-motor,TBD,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2023,BMW,iX M60,5700,0.25,SUV,Electric,5,,,77-78,,,,,,274-288,11,195,3,28,393,111,,,e-motor,190 and 360 kW electric motors,,,,AWD,
2023,BMW,iX xDrive50,5670,0.25,SUV,Electric,5,,,83-86,,,,,,305-324,11,195,3,28,393,76,,,e-motor,TBD,,,,AWD,
2023,Cadillac,Lyric,5610,0.29,SUV,Electric,5,97,82,89,,,,,,312,11.5-19.2,190,4,29,401,119,,,e-motor,255 kW electric motor,,,,RWD,
2023,Cadillac,Lyric AWD,5790,0.29,SUV,Electric,5,96,81,89,,,,,,307,11.5-19.2,190,4,29,401,119,,,e-motor,155 and 220 kW,,,,AWD,
2023,Chevrolet,Bolt EUV,3679,0.31,Sedan/Wagon,Electric,5,125,104,115,,,,,,247,11.5,50,4,39,136,75,,,e-motor,150 kW electric motor,,,,FWD,
2023,Chevrolet,Bolt EV,3589,0.31,Sedan/Wagon,Electric,5,131,109,120,,,,,,259,11.5,50,4,41,142,75,,,e-motor,150 kW electric motor,,,,FWD,
2023,Fisker Automotive,"Ocean Extreme, One",5300,0.28,SUV,Electric,,99,84,92,,,,,,360,,,,,,113,,,e-motor,207 kW,,,,Part-Time 4WD,
2023,Ford,F150 Lightning 4WD,6500,0.35,Pickup,Electric,5,,,68,,,,,,240,11.6-19.6,150,2,24-40,249,123,,,e-motor,358 kW electric motors (x2),,,,AWD,
2023,Ford,F150 Lightning 4WD Plat/Ext. Range,6800,0.35,Pickup,Electric,5,,,66-70,,,,,,300-320,11.6-19.6,150,2,24-40,249,165,,,e-motor,210 kW electric motors (x2),,,,AWD,Includes Platinum and Extended Range models
2023,Ford,Mustang Mach-E AWD,4900,0.3,SUV,Electric,5,99,86,93,,,,,,224,11,115-150,3,30,331,116,,,e-motor,198 kW electric motors (x2),,,,AWD,
2023,Ford,Mustang Mach-E AWD CAL RT 1/EXT,5000,0.3,SUV,Electric,5,,,92-98,,,,,,290-312,11,115-150,3,30,331,116,,,e-motor,258 kW electric motors (x2),,,,AWD,Includes California Route 1 and Extended models
2023,Ford,Mustang Mach-E GT,5100,0.3,SUV,Electric,5,,,82-84,,,,,,260-270,11,115-150,3,30,331,116,,,e-motor,180  kW electric motor,,,,AWD,Includes Performance model
2023,Ford,Mustang Mach-E RWD Extended,4900,0.3,SUV,Electric,5,105,92,99,,,,,,310,11,115-150,3,30,331,116,,,e-motor,216 kW electric motor,,,,RWD,
2023,Ford,Mustang Mach-E RWD (incl. LFP),4700,0.3,SUV,Electric,5,,,101-103,,,,,,247-250,11,115-150,3,30,331,91,,,e-motor,198 kW electric motor,,,,RWD,
2023,Genesis,Electrified G80,5047,0.27,Sedan/Wagon,Electric,,105,89,97,,,,,,282,,,,,,87,,,e-motor,TBD,,,,AWD,
2023,Genesis,GV60 Advance,4800,0.29,Sedan/Wagon,Electric,,103,86,95,,,,,,248,,,,,,77,,,e-motor,74 and 160 kW electric motors,,,,AWD,
2023,Genesis,GV60 Performance,4800,0.29,Sedan/Wagon,Electric,,97,82,90,,,,,,235,,,,,,77,,,e-motor,160 kW electric motors (X2),,,,AWD,
2023,Hyundai,Ioniq 6 Long range AWD,4464,0.21,Sedan/Wagon,Electric,,,,103-121,,,,,,270-316,,,,,,77,,,e-motor,74 and 165 kW ,,,,AWD,"Includes models with 18"" and 20"" wheels"
2023,Hyundai,Ioniq 6 Long range RWD,4200,0.21,Sedan/Wagon,Electric,,,,117-140,,,,,,305-361,,,,,,77,,,e-motor,168 kW,,,,RWD,"Includes models with 18"" and 20"" wheels"
2023,Hyundai,Ioniq 6 Standard range RWD,3968,0.21,Sedan/Wagon,Electric,,151,120,135,,,,,,240,,,,,,53,,,e-motor,111 kW,,,,RWD,
2023,Hyundai,Kona Electric,3880,0.29,SUV,Electric,5,132,106,120,,,,,,258,7.2,75,4,26,214,64,,,e-motor,TBD,,,,FWD,
2023,Jaguar,I-PACE EV400,4784,0.29,SUV,Electric,5,,,76-85,,,,,,217-246,7,100,3,16,180,86,,,e-motor,TBD,,,,4WD,
2023,Kia,EV6 AWD GT,4795,0.28,Sedan/Wagon,Electric,5,85,74,79,,,,,,206,11,200,4,36,527,77,,,e-motor,TBD,,,,AWD,
2023,Kia,EV6 Long Range AWD,4502,0.28,Sedan/Wagon,Electric,5,,,96-109,,,,,,252-282,11,200,4,35,527,77,,,e-motor,TBD,,,,AWD,
2023,Kia,EV6 Standard/Long Range RWD,4255,0.28,Sedan/Wagon,Electric,5,,,117,,,,,,232-310,11,200,4,36,527,77,,,e-motor,TBD,,,,RWD,
2023,Kia,Niro Electric,3721,0.29,Sedan/Wagon,Electric,5,123,101,113,,,,,,253,7.2,75,4,24,199,64,,,e-motor,TBD,,,,FWD,
2023,Lexus,"RZ 450e AWD (18""/20"" Wheels)",4564,0.29,SUV,Electric,5,,,95-107,,,,,,196-220,6.6,100-150,4,23,353,71,,,e-motor,80 kW and 150 kW electric motors,,,,AWD,"Includes models with 18"" and 20"" wheels"
2023,Lordstown,Endurance,6450,0.3,Pickup,Electric,,49,46,48,,,,,,174,,,,,,109,,,e-motor,96 kW (x4),,,,4WD,
2023,Lucid,Air G Touring XR AWD,5200,0.21,Sedan/Wagon,Electric,5,,,121-131,,,,,,469-516,19,300,4,69,876,120,,,e-motor,370 and 370/459 kW,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2023,Lucid,Air GT P AWD,5200,0.21,Sedan/Wagon,Electric,5,,,111,,,,,,446,19,300,4,69,876,120,,,e-motor,TBD,,,,AWD,"21"" wheels"
2023,Lucid,Air Pure AWD,4800,0.21,Sedan/Wagon,Electric,5,,,121-140,,,,,,384-410,19,300,4,69,876,120,,,e-motor,TBD,,,,AWD,"Includes models with 19"" and 20"" wheels"
2023,Lucid,Air Touring AWD,5000,0.21,Sedan/Wagon,Electric,5,,,121-140,,,,,,384-425,19,300,4,69,876,120,,,e-motor,TBD,,,,AWD,"Includes models with 19"", 20"", and 21"" wheels"
2023,Mazda,MX-30,3774,0.33,Sedan/Wagon,Electric,,98,85,92,,,,,,100,,,,,,35,,,e-motor,81 kW electric motor,,,,FWD,
2023,Mercedes-Benz,EQS 450 4MATIC,5597,0.2,Sedan/Wagon,Electric,5,101,105,103,,,,,,340,9.6,200,3,27,456,111,,,e-motor,TBD,,,,AWD,
2023,Mercedes-Benz,EQS 450 4MATIC (SUV),5963,0.26,SUV,Electric,5,79,77,78,,,,,,285,9.6,200,3,27,456,111,,,e-motor,TBD,,,,AWD,
2023,Mercedes-Benz,EQS 450+ (SUV),5963,0.26,SUV,Electric,5,87,83,85,,,,,,305,9.6,200,3,27,456,111,,,e-motor,TBD,,,,RWD,
2023,Mercedes-Benz,EQS 580 4MATIC (SUV),6228,0.26,SUV,Electric,5,79,74,77,,,,,,285,9.6,200,3,27,456,111,,,e-motor,TBD,,,,AWD,
2023,Mini,Cooper SE Hardtop 2 door,3153,0.28,Sedan/Wagon,Electric,4,119,100,110,,,,,,114,7.4,,4,24,128,32,,,e-motor,135 kW electric motor,,,,FWD,
2023,Nissan,ARIYA ENGAGE e-4ORCE 63kWh,4608,0.29,Sedan/Wagon,Electric,5,101,89,95,,,,,,205,7.2,130,4,22,312,65,,,e-motor,160 kW electric motors (x2),,,,AWD,
2023,Nissan,ARIYA ENGAGE FWD 63kWh,4343,0.29,Sedan/Wagon,Electric,,109,94,101,,,,,,216,,,,,,65,,,e-motor,TBD,,,,FWD,
2023,Nissan,ARIYA ENG+/EVO+/PLAT+ e-4ORCE 87kWh,4608,0.29,Sedan/Wagon,Electric,5,,,87-92,,,,,,257,7.2,130,4,22,312,90,,,e-motor,160 kW electric motors (x2),,,,AWD,"Includes ENGAGE+, EVO+, and PLATINUM+ e-4ORCE models with 19"" or 20"" wheels"
2023,Nissan,ARIYA FWD 87kWh,4343,0.29,Sedan/Wagon,Electric,,,,98-103,,,,,,289-304,,,,,,90,,,e-motor,TBD,,,,FWD,"Includes EVO+, EMP+, PRM, and VENTURE+ models"
2023,Nissan,LEAF,3501,0.28,Sedan/Wagon,Electric,5,123,99,111,,,,,,149,6.6,70,4,22,189,40,,,e-motor,TBD,,,,FWD,
2023,Nissan,LEAF SV,3501,0.28,Sedan/Wagon,Electric,5,121,98,109,,,,,,212,6.6,70,4,22,189,60,,,e-motor,TBD,,,,FWD,
2023,Polestar,Polestar 2,4396,0.28,Sedan/Wagon,Electric,5,113,100,107,,,,,,270,11,150,3,30,328,77,,,e-motor,170 kW electric motor,,,,FWD,Single motor
2023,Polestar,Polestar 2 Dual Motor,4680,0.28,Sedan/Wagon,Electric,5,,,96-100,,,,,,247-260,11,150,3,30,328,77,,,e-motor,150 /175 kW electric motors (X2),,,,AWD,"Includes Dual Motor, Performance Pack, and BST Edition"
2023,Porsche,Taycan AWD,4568,0.22,Sedan/Wagon,Electric,4,,,75-83,,,,,,206-246,11,270,2,23,442,109,,,e-motor,175/190 and 270/335 kW motors,,,,AWD,"Includes GTS, 4S Performance Battery, 4S Performance Battery Plus, Turbo, and Turbo S"
2023,Porsche,Taycan Cross Turismo,4696,0.26,Sedan/Wagon,Electric,4,,,75-80,,,,,,222-235,11,270,2,23,442,109,,,e-motor,175/190 and 335 kW motors,,,,AWD,"Includes 4, 4S, Turbo, and Turbo S models"
2023,Porsche,Taycan GTS Sport Turismo,4949,0.26,Sedan/Wagon,Electric,4,80,80,80,,,,,,233,11,270,2,23,442,109,,,e-motor,175 and 335 kW electric motors,,,,AWD,
2023,Porsche,Taycan Perf Battery/Battery Plus,4568,0.22,Sedan/Wagon,Electric,4,,,82--83,,,,,,208-242,11,270,2,23,442,109,,,e-motor,240 or 280 kW electric motor,,,,RWD,
2023,Rivian ,R1S,7150,0.3,SUV,Electric,7,,,63-71,,,,,,274-321,11.5,209,2,24,349,144,,,e-motor,162 kW (x2) and 163 kW (x2),,,,AWD,Includes multiple wheel and tire options
2023,Rivian ,R1S Dual Motor,7150,0.3,SUV,Electric,7,,,68-78,,,,,,307-352,11.5,209,2,24,349,144,,,e-motor,"208 kW, 418 kW, or 496 kW",,,,AWD,Includes Performance models and multiple wheel and tire options
2023,Rivian ,R1T,7148,0.3,Pickup,Electric,5,,,64-73,,,,,,289-328,11.5,210,2,24,344,144,,,e-motor,162 kW (x2) and 163 kW (x2),,,,AWD,"Includes 20"", 21"", and 22"" wheel options"
2023,Rivian ,R1T Dual Motor,7148,0.3,Pickup,Electric,5,,,76-78,,,,,,341-352,11.5,210,2,24,344,144,,,e-motor,418 kW (x2) or 496 kW (x2),,,,AWD,"Includes Performance models and 21"" and 22"" wheels"
2023,Subaru,Solterra AWD,4365,0.28,SUV,Electric,,,,102-104,,,,,,222-228,,,,,,72,,,e-motor,TBD,,,,AWD,"Includes Standard, Limited, and Touring models"
2023,Tesla,Model 3 AWD,4034,0.23,Sedan/Wagon,Electric,5,,,113-131,,,,,,315-358,11.5,250,4,41,712,84,,,e-motor,98/131 kW and 190/195 kW motors,,,,AWD,Includes Performance and Long Range models
2023,Tesla,Model 3 RWD,3862,0.23,Sedan/Wagon,Electric,5,138,126,132,,,,,,272,,250,4,41,712,60.9,,,e-motor,192 kW electric motor,,,,RWD,
2023,Tesla,Model S ,4561,0.21,Sedan/Wagon,Electric,5,124,115,120,,,,,,405,11.5,250,4,38,653,104,,,e-motor,247 kW electric motors (x2),,,,AWD,
2023,Tesla,Model X,5185,0.24,SUV,Electric,7-May,,,91-102,,,,,,311-348,11.5,250,3,33,570,104,,,e-motor,243 and 248 kW or 231 kW (x3),,,,AWD,"Includes Plaid and models with 20"" and 22"" wheels"
2023,Tesla,Model Y AWD,4416,0.23,SUV,Electric,7-May,,,111-123,,,,,,279-330,11.5,250,4,41,712,84,,,e-motor,91/133 kW and 179/200 kW motors,,,,AWD,Includes Performance and Long Range models
2023,Toyota,bZ4X,4266,0.28,SUV,Electric,5,,,114-119,,,,,,242-252,6.6,150,4,23,353,71,,,e-motor,150 kW electric motor,,,,FWD,Includes standard and Limited models
2023,Toyota,bZ4X AWD,4464,0.28,SUV,Electric,5,,,102-104,,,,,,222-228,6.6,100-150,4,23,353,72,,,e-motor,80 and 150 kW electric motors,,,,AWD,Includes standard and Limited models
2023,VinFast,VF 8 Eco/Plus,5600,0.3,SUV,Electric,,,,80-87,,,,,,191-207,,,,,,88,,,e-motor,130/150 kW (x2),,,,AWD,Includes Plus model
2023,Volkswagen,ID.4 AWD Pro/Pro S,4888,0.28,SUV,Electric,5,104,93,99,,,,,,255,11,125,4,34,306,81,,,e-motor,TBD,,,,AWD,
2023,Volkswagen,ID.4 S/Pro/Pro S,4665,0.28,SUV,Electric,5,115,98,107,,,,,,209-275,11,125,4,34,306,81,,,e-motor,150 kW electric motor,,,,RWD,
2023,Volvo,C40 Recharge Twin,4700,0.32,SUV,Electric,5,94,80,87,,,,,,226,11,149,3,28,310,77,,,e-motor,175 kW electric motors (X2),,,,AWD,
2023,Volvo,XC40 Recharge Twin,4700,0.32,SUV,Electric,5,92,79,85,,,,,,223,11,150,3,28,303,77,,,e-motor,150 kW electric motors (X2),,,,AWD,
